VMetaFrameType.PROTO/drone/quat/w,VMetaFrameType.PROTO/drone/quat/x,VMetaFrameType.PROTO/drone/quat/y,VMetaFrameType.PROTO/drone/quat/z,VMetaFrameType.PROTO/drone/location/latitude,VMetaFrameType.PROTO/drone/location/longitude,VMetaFrameType.PROTO/drone/location/altitude_egm96amsl,VMetaFrameType.PROTO/drone/location/sv_count,VMetaFrameType.PROTO/drone/ground_distance,VMetaFrameType.PROTO/drone/speed/north,VMetaFrameType.PROTO/drone/speed/east,VMetaFrameType.PROTO/drone/speed/down,VMetaFrameType.PROTO/drone/battery_percentage,VMetaFrameType.PROTO/drone/animation_in_progress,VMetaFrameType.PROTO/drone/flying_state,VMetaFrameType.PROTO/drone/piloting_mode,VMetaFrameType.PROTO/camera/timestamp,VMetaFrameType.PROTO/camera/base_quat/w,VMetaFrameType.PROTO/camera/base_quat/x,VMetaFrameType.PROTO/camera/base_quat/y,VMetaFrameType.PROTO/camera/base_quat/z,VMetaFrameType.PROTO/camera/quat/w,VMetaFrameType.PROTO/camera/quat/x,VMetaFrameType.PROTO/camera/quat/y,VMetaFrameType.PROTO/camera/quat/z,VMetaFrameType.PROTO/camera/exposure_time,VMetaFrameType.PROTO/camera/iso_gain,VMetaFrameType.PROTO/camera/awb_r_gain,VMetaFrameType.PROTO/camera/awb_b_gain,VMetaFrameType.PROTO/camera/hfov,VMetaFrameType.PROTO/camera/vfov,VMetaFrameType.PROTO/links/0/wifi/goodput,VMetaFrameType.PROTO/links/0/wifi/quality,VMetaFrameType.PROTO/links/0/wifi/rssi,VMetaFrameType.PROTO/automation/follow_me,VMetaFrameType.PROTO/automation/lookat_me,VMetaFrameType.PROTO/automation/angle_locked,VMetaFrameType.PROTO/automation/animation
-0.5325927734375,0.00555419921875,0.033447265625,-0.84564208984375,38.635016441345215,-90.23070812225342,157.109375,23,3.0295867919921875,0.0078125,-0.06640625,1.69921875,55,false,FS_FLYING,PM_MANUAL,1235321810,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53277587890625,-0.00909423828125,0.01617431640625,-0.84600830078125,38.635016441345215,-90.23070812225342,157.03125,23,2.89984130859375,0.00390625,-0.05078125,1.66015625,55,false,FS_FLYING,PM_MANUAL,1235355175,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53277587890625,-0.00909423828125,0.01617431640625,-0.84600830078125,38.635016441345215,-90.23070812225342,157.03125,23,2.89984130859375,0.00390625,-0.05078125,1.66015625,55,false,FS_FLYING,PM_MANUAL,1235355175,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53204345703125,-0.01513671875,0.00653076171875,-0.84649658203125,38.635016441345215,-90.23070812225342,156.98046875,23,2.8411865234375,-0.00390625,-0.0390625,1.6484375,55,false,FS_FLYING,PM_MANUAL,1235388533,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53204345703125,-0.01513671875,0.00653076171875,-0.84649658203125,38.635016441345215,-90.23070812225342,156.98046875,23,2.8411865234375,-0.00390625,-0.0390625,1.6484375,55,false,FS_FLYING,PM_MANUAL,1235388533,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53143310546875,-0.01544189453125,0.00042724609375,-0.846923828125,38.635016441345215,-90.23070812225342,156.93359375,23,2.858673095703125,-0.015625,-0.02734375,1.62109375,55,false,FS_FLYING,PM_MANUAL,1235421902,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53143310546875,-0.01544189453125,0.00042724609375,-0.846923828125,38.635016441345215,-90.23070812225342,156.93359375,23,2.858673095703125,-0.015625,-0.02734375,1.62109375,55,false,FS_FLYING,PM_MANUAL,1235421902,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.531494140625,-0.011474609375,-0.0067138671875,-0.846923828125,38.635016202926636,-90.23070788383484,156.8125,24,2.821807861328125,-0.078125,0,1.58203125,55,false,FS_FLYING,PM_MANUAL,1235455261,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.531494140625,-0.011474609375,-0.0067138671875,-0.846923828125,38.635016202926636,-90.23070788383484,156.8125,24,2.821807861328125,-0.078125,0,1.58203125,55,false,FS_FLYING,PM_MANUAL,1235455261,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53131103515625,-0.0076904296875,-0.01275634765625,-0.84698486328125,38.63501596450806,-90.23070788383484,156.76953125,24,3.222869873046875,-0.09375,0,1.55859375,55,false,FS_FLYING,PM_MANUAL,1235488616,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
